"FECHA","TIPO","CONCATENAD","SEMANA","SEMANA_COMPLETAS"
2011-07-25,"CRISTAL","CRISTAL/PERSONA/VEHICULO/OPORTUNISTA",30,30
2011-07-25,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",30,30
2011-08-03,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",31,31
2011-08-09,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA ARREBATAR/DESPOJAR",32,32
2011-08-10,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",32,32
2011-08-16,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",33,33
2011-08-21,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",34,34
2011-08-27,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA ARREBATAR/DESPOJAR",35,35
2011-09-09,"TRANSEUNTE","TRANSEUNTE/PERSONA/ASALTO",36,36
2011-09-17,"TRANSEUNTE EN VEHICULO","TRANSEUNTE EN VEHICULO/PERSONA VEHICULO EN CUIDAD/OPORTUNISTA",38,38
2011-09-22,"TRANSEUNTE","TRANSEUNTE/PERSONA/TIMO",38,38
2011-09-29,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",39,39
2011-10-11,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/ESTACIONADO",41,41
2011-10-15,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",42,42
2011-10-23,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/ESTACIONADO",43,43
2011-10-29,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",44,44
2011-11-01,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA TARJETA BANCARIA",44,44
2011-11-05,"BICICLETA","BICICLETA/PERSONA/OPORTUNISTA",45,45
2011-11-16,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",46,46
2011-11-18,"COMERCIAL","COMERCIAL/COMERCIO/OPORTUNISTA",46,46
2011-11-22,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",47,47
2011-12-06,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",49,49
2011-12-10,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",50,50
2011-12-15,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",50,50
2011-12-17,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA ARREBATAR/DESPOJAR",51,51
2011-12-23,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA TARJETA BANCARIA",51,51
2011-12-30,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",52,52
2012-01-01,"TRANSPORTE DE PASAJEROS CIUDAD","TRANSPORTE DE PASAJEROS CIUDAD/PASAJERO/OPORTUNISTA",1,54
2012-01-03,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/RECUPERADO",1,54
2012-01-10,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",2,55
2012-01-10,"COMERCIAL","COMERCIAL/COMERCIO/OPORTUNISTA",2,55
2012-01-16,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",3,56
2012-01-19,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",3,56
2012-01-20,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA ARREBATAR/DESPOJAR",3,56
2012-01-23,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",4,57
2012-01-24,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",4,57
2012-02-04,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA TARJETA BANCARIA",5,58
2012-02-08,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",6,59
2012-02-09,"TRANSEUNTE","TRANSEUNTE/PERSONA/ASALTO",6,59
2012-02-15,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",7,60
2012-02-17,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",7,60
2012-02-20,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",8,61
2012-02-21,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",8,61
2012-02-24,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",8,61
2012-02-24,"COMERCIAL","COMERCIAL/COMERCIO/OPORTUNISTA",8,61
2012-02-25,"TRANSEUNTE","TRANSEUNTE/PERSONA/TUMBADOR",8,61
2012-02-28,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/ESTACIONADO",9,62
2012-02-29,"COMERCIAL","COMERCIAL/COMERCIO/OPORTUNISTA",9,62
2012-03-08,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",10,63
2012-03-11,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",11,64
2012-03-12,"COMERCIAL","COMERCIAL/COMERCIO/VIOLACHAPAS",11,64
2012-03-12,"DOMICILIARIO","DOMICILIARIO /CASA HABITACION HABITADA/OPORTUNISTA",11,64
2012-03-14,"CRISTAL","CRISTAL/PERSONA/VEHICULO/AUTOPARTES",11,64
2012-03-17,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",11,64
2012-03-26,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",13,66
2012-03-31,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA TARJETA BANCARIA",13,66
2012-04-04,"COMERCIAL","COMERCIAL/EMPLEADO/OPORTUNISTA",14,67
2012-04-04,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",14,67
2012-04-09,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/ESTACIONADO",15,68
2012-04-30,"COMERCIAL","COMERCIAL/COMERCIO/OPORTUNISTA",18,71
2012-05-05,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",18,71
2012-05-14,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",20,73
2012-05-17,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",20,73
2012-05-19,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA TARJETA BANCARIA",20,73
2012-05-25,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA TARJETA BANCARIA",21,74
2012-05-27,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",22,75
2012-05-30,"TRANSEUNTE","TRANSEUNTE/PERSONA/ASALTO",22,75
2012-06-03,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",23,76
2012-06-03,"TRANSEUNTE","TRANSEUNTE/PERSONA/ASALTO",23,76
2012-06-04,"CRISTAL","CRISTAL/PERSONA/VEHICULO/ROMPE VIDRIOS",23,76
2012-06-06,"COMERCIAL","COMERCIAL/COMERCIO/OPORTUNISTA",23,76
2012-06-24,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",26,79
2012-06-28,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA ARREBATAR/DESPOJAR",26,79
2012-06-29,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",26,79
2012-07-03,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",27,80
2012-07-07,"TRANSEUNTE EN VEHICULO","TRANSEUNTE EN VEHICULO/PERSONA VEHICULO EN CUIDAD/OPORTUNISTA",27,80
2012-07-08,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",28,81
2012-07-14,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",28,81
2012-07-14,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",28,81
2012-07-15,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/ESTACIONADO",29,82
2012-07-17,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",29,82
2012-07-20,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",29,82
2012-07-31,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",31,84
2012-08-01,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",31,84
2012-08-11,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",32,85
2012-08-18,"TRANSEUNTE","TRANSEUNTE/PERSONA/ASALTO",33,86
2012-08-23,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",34,87
2012-08-27,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",35,88
2012-09-09,"DOMICILIARIO","DOMICILIARIO /CASA HABITACION HABITADA/OPORTUNISTA",37,90
2012-09-14,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",37,90
2012-09-22,"VEHICULO","VEHICULO/VEHICULO EMPRESA/INDUSTRIA/ESTACIONADO",38,91
2012-09-28,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/ESTACIONADO",39,92
2012-10-07,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",41,94
2012-10-24,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",43,96
2012-10-25,"COMERCIAL","COMERCIAL/COMERCIO/OPORTUNISTA",43,96
2012-10-25,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",43,96
2012-10-26,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",43,96
2012-10-28,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA ARREBATAR/DESPOJAR",44,97
2012-10-28,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",44,97
2012-10-29,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",44,97
2012-10-31,"COMERCIAL","COMERCIAL/COMERCIO/HORMIGA",44,97
2012-11-03,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",44,97
2012-11-12,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",46,99
2012-11-16,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",46,99
2012-11-16,"CRISTAL","CRISTAL/PERSONA/VEHICULO/ROMPE VIDRIOS",46,99
2012-11-17,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",46,99
2012-11-17,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/ESTACIONADO",46,99
2012-11-18,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",47,100
2012-11-22,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",47,100
2012-11-25,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",48,101
2012-12-05,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",49,102
2012-12-09,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",50,103
2012-12-12,"COMERCIAL","COMERCIAL/COMERCIO/OPORTUNISTA",50,103
2012-12-15,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",50,103
2012-12-22,"TRANSEUNTE","TRANSEUNTE/PERSONA/ASALTO",51,104
2012-12-23,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",52,105
2012-12-28,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",52,105
2012-12-28,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",52,105
2013-01-01,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/ESTACIONADO",1,107
2013-01-07,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",1,107
2013-01-09,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA ARREBATAR/DESPOJAR",2,108
2013-01-09,"BICICLETA","BICICLETA/PERSONA/OPORTUNISTA",2,108
2013-01-10,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",2,108
2013-01-18,"TRANSEUNTE","TRANSEUNTE/PERSONA/ASALTO",3,109
2013-01-21,"COMERCIAL","COMERCIAL/COMERCIO/HORMIGA",3,109
2013-01-22,"COMERCIAL","COMERCIAL/COMERCIO/ASALTO",4,110
2013-01-27,"TRANSEUNTE","TRANSEUNTE/PERSONA/ASALTO",4,110
2013-01-30,"COMERCIAL","COMERCIAL/COMERCIO/OPORTUNISTA",5,111
2013-02-06,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",6,112
2013-02-06,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",6,112
2013-02-10,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",6,112
2013-02-15,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",7,113
2013-02-16,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",7,113
2013-02-23,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",8,114
2013-02-26,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",9,115
2013-03-01,"TRANSEUNTE EN VEHICULO","TRANSEUNTE EN VEHICULO/PERSONA VEHICULO EN CUIDAD/ASALTO",9,115
2013-03-05,"COMERCIAL","COMERCIAL/COMERCIO/OPORTUNISTA",10,116
2013-03-16,"COMERCIAL","COMERCIAL/COMERCIO/BOQUETAZO",11,117
2013-03-23,"TRANSEUNTE","TRANSEUNTE/PERSONA/ASALTO",12,118
2013-03-27,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",13,119
2013-03-29,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",13,119
2013-04-01,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",13,119
2013-04-14,"COMERCIAL","COMERCIAL/COMERCIO/VIOLACHAPAS",15,121
2013-04-16,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",16,122
2013-04-17,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",16,122
2013-04-17,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",16,122
2013-04-27,"MOTOCICLETA","MOTOCICLETA/MOTO/COMERCIO/ESTACIONADO",17,123
2013-04-30,"CRISTAL","CRISTAL/PERSONA/VEHICULO/OPORTUNISTA",18,124
2013-04-30,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",18,124
2013-05-04,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",18,124
2013-05-16,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",20,126
2013-05-17,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/OPORTUNISTA",20,126
2013-05-24,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",21,127
2013-05-25,"CRISTAL","CRISTAL/PERSONA/VEHICULO/ROMPE VIDRIOS",21,127
2013-05-26,"VEHICULO","VEHICULO/VEHICULO TAXI/RECUPERADO",21,127
2013-06-11,"CRISTAL","CRISTAL/PERSONA/VEHICULO/ROMPE VIDRIOS",24,130
2013-06-18,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",25,131
2013-06-26,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",26,132
2013-06-27,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",26,132
2013-06-28,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",26,132
2013-06-29,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA ARREBATAR/DESPOJAR",26,132
2013-06-30,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",26,132
2013-07-05,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",27,133
2013-07-18,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",29,135
2013-07-19,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",29,135
2013-07-19,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/ASALTO",29,135
2013-07-23,"INSTITUCIONES PUBLICAS","INSTITUCIONES PUBLICAS/GOBIERNO/OPORTUNISTA",30,136
2013-07-24,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",30,136
2013-07-28,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",30,136
2013-07-28,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",30,136
2013-07-29,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",30,136
2013-08-01,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA TARJETA BANCARIA",31,137
2013-08-16,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",33,139
2013-08-17,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",33,139
2013-08-20,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",34,140
2013-08-23,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",34,140
2013-08-24,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",34,140
2013-08-24,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",34,140
2013-08-28,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA TARJETA BANCARIA",35,141
2013-08-28,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",35,141
2013-08-30,"COMERCIAL","COMERCIAL/COMERCIO/CHORLERO",35,141
2013-08-30,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA TARJETA BANCARIA",35,141
2013-09-01,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA ARREBATAR/DESPOJAR",35,141
2013-09-02,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",35,141
2013-09-09,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",36,142
2013-09-10,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA TARJETA BANCARIA",37,143
2013-09-15,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",37,143
2013-09-15,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",37,143
2013-09-19,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",38,144
2013-09-21,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA TARJETA BANCARIA",38,144
2013-09-25,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA ARREBATAR/DESPOJAR",39,145
2013-09-25,"CRISTAL","CRISTAL/PERSONA/VEHICULO/ROMPE VIDRIOS",39,145
2013-10-03,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",40,146
2013-10-08,"COMERCIAL","COMERCIAL/COMERCIO/ESCALADOR",41,147
2013-11-13,"TRANSEUNTE","TRANSEUNTE/PERSONA/ASALTO",46,152
2013-11-15,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/ESTACIONADO",46,152
2013-11-20,"COMERCIAL","COMERCIAL/COMERCIO/OPORTUNISTA",47,153
2013-11-20,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",47,153
2013-11-27,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",48,154
2013-12-02,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",48,154
2013-12-09,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/RECUPERADO",49,155
2013-12-10,"CRISTAL","CRISTAL/PERSONA/VEHICULO/ROMPE VIDRIOS",50,156
2013-12-13,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/ESTACIONADO",50,156
2013-12-25,"DOMICILIARIO","DOMICILIARIO /CASA HABITACION HABITADA/VIOLACHAPAS",52,158
2013-12-26,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA TARJETA BANCARIA",52,158
2014-01-06,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",1,160
2014-01-09,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",2,161
2014-01-18,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",3,162
2014-01-20,"TRANSEUNTE","TRANSEUNTE/PERSONA/TIMO",3,162
2014-01-23,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",4,163
2014-01-24,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",4,163
2014-01-25,"TRANSPORTE DE PASAJEROS CIUDAD","TRANSPORTE DE PASAJEROS CIUDAD/PASAJERO/OPORTUNISTA",4,163
2014-01-25,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",4,163
2014-01-29,"CRISTAL","CRISTAL/PERSONA/VEHICULO/ROMPE VIDRIOS",5,164
2014-02-02,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/FARDERO",5,164
2014-02-03,"COMERCIAL","COMERCIAL/COMERCIO/OPORTUNISTA",5,164
2014-02-04,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",5,164
2014-02-06,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",6,165
2014-02-12,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",7,166
2014-02-13,"CRISTAL","CRISTAL/PERSONA/VEHICULO/OPORTUNISTA",7,166
2014-02-15,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/FARDERO",7,166
2014-02-25,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",8,167
2014-02-26,"MOTOCICLETA","MOTOCICLETA/MOTO/PARTICULAR/ESTACIONADO",9,168
2014-02-28,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA TARJETA BANCARIA",9,168
2014-03-02,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",9,168
2014-03-03,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",9,168
2014-03-08,"COMERCIAL","COMERCIAL/COMERCIO/OPORTUNISTA",10,169
2014-03-11,"CRISTAL","CRISTAL/PERSONA/VEHICULO/ROMPE VIDRIOS",10,169
2014-03-11,"CRISTAL","CRISTAL/PERSONA/VEHICULO/ROMPE VIDRIOS",10,169
2014-03-14,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",11,170
2014-03-18,"CRISTAL","CRISTAL/PERSONA/VEHICULO/ROMPE VIDRIOS",11,170
2014-03-25,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",12,171
2014-03-29,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/RECUPERADO",13,172
2014-04-02,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",14,173
2014-04-08,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",14,173
2014-04-08,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",14,173
2014-04-14,"CRISTAL","CRISTAL/PERSONA/VEHICULO/VIOLACHAPAS",15,174
2014-04-18,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/ESTACIONADO",16,175
2014-04-26,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",17,176
2014-04-29,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA",17,176
2014-05-13,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/ESTACIONADO",19,178
2014-05-18,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/OPORTUNISTA",20,179
2014-05-25,"COMERCIAL","COMERCIAL/COMERCIO/FARDERO",21,180
2014-05-26,"INSTITUCIONES PUBLICAS","INSTITUCIONES PUBLICAS/GOBIERNO/OPORTUNISTA",21,180
2014-05-26,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA TARJETA BANCARIA",21,180
2014-06-07,"TRANSEUNTE","TRANSEUNTE/PERSONA/OPORTUNISTA TARJETA BANCARIA",23,182
2014-06-10,"COMERCIAL","COMERCIAL/PRESTADOR DE SERVICIO/CHORLERO",23,182
2014-06-13,"VEHICULO","VEHICULO/VEHICULO PARTICULAR/ASALTO",24,183
2014-06-18,"COMERCIAL","COMERCIAL/EMPRESA/INDUSTRIA/FARDERO",25,184
2014-06-23,"COMERCIAL","COMERCIAL/PRESTADOR DE SERVICIO/OPORTUNISTA",25,184
